Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Eucalyptus punctata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084815.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus pyrocarpa,AB591304.1,-,AB591353.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AB591269.1,-,AB591275.1,AB591345.1,-,AB591272.1,AB591266.1,AB591289.1,AB591296.1,-,-,-,-,-,-,-,-,-,-,-,-,AB591281.1,AB591256.1,AB591263.1,AB591260.1,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus racemosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN392731.1,-,-,-,-
Eucalyptus radiata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494764.1,-,-,-,-,-,-,-,-,AF058482.1,-,-,-,-,-,KM065159.1,-,-
Eucalyptus raveretiana,-,-,-,-,-,-,-,-,_R_HQ287692.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF694715.1,-,-,-,HQ287719.1,-,-,-,HQ287607.1
Eucalyptus regnans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352536.1,-,-,-,-,-,-,-,-,AF058488.1,-,-,-,-,-,KM065104.1,-,-
Eucalyptus remota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494765.1,-,-,-,-,-,-,-,-,EF581303.1,-,-,-,-,-,-,-,-
Eucalyptus risdonii,-,-,-,-,-,-,-,-,AF306342.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058493.1,-,-,-,AF306332.1,-,-,-,-
Eucalyptus robertsonii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058492.1,-,-,-,-,-,-,-,-
Eucalyptus robusta,AB696677.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus rodwayi,-,-,-,-,-,-,-,-,AF306338.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF306333.1,-,-,-,-
Eucalyptus rossii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494766.1,-,-,-,-,-,-,-,-,FJ494728.1,-,-,-,-,-,-,-,-
Eucalyptus roycei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654405.1,-,-,-,-,-,-,_R_FJ654357.1,-
Eucalyptus rubida,-,-,-,-,-,-,-,-,AF306337.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM596064.1,-,-,-,AF306334.1,-,-,-,-
Eucalyptus rubiginosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352537.1,-,-,-,-,-,-,-,-,AF390526.1,-,-,-,-,-,-,-,-
Eucalyptus rudis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084816.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus saligna,-,AF159170.1,-,-,-,-,-,-,-,-,-,JN573729.1,JN573730.1,JN573731.1,JN573732.1,JN573733.1,JN573734.1,JN573752.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064664.1,-,-,AF294793.1,AF297877.1,-,-,-,-,KM064890.1,-,-,-,-,-,KM065201.1,-,-
Eucalyptus salmonophloia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390509.1,-,-,-,-,-,-,-,-
Eucalyptus scias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084820.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus scoparia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390479.1,-,-,-,-,-,-,-,-
Eucalyptus selachiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654417.1,-,-,-,-,-,-,-,-,FJ654374.1,-,-,-,-,-,-,_R_FJ654348.1,-
Eucalyptus sepulcralis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494767.1,-,-,-,-,-,-,-,-,EF051499.1,-,-,-,-,-,-,-,-
Eucalyptus serraensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494729.1,-,-,-,-,-,-,JX187462.1,-
Eucalyptus shirleyi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JX850040.1,-,-
Eucalyptus siderophloia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM116970.1,-,-,-,-,-,-,-,-
Eucalyptus sieberi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058495.1,-,-,-,-,-,-,-,-
Eucalyptus similis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654386.1,-,-,-,-,-,-,_R_FJ654359.1,-
Eucalyptus smithii,-,-,-,-,-,-,-,-,-,-,-,JN573735.1,JN573736.1,JN573737.1,JN573738.1,JN573739.1,JN573740.1,JN573761.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AB924856.1,-,AB925470.1
Eucalyptus spathulata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058477.1,-,-,-,-,-,-,-,-
Eucalyptus spectatrix,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494768.1,-,-,-,-,-,-,-,-,EF051501.1,-,-,-,-,-,-,-,-
Eucalyptus sphaerocarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494769.1,-,-,-,-,-,-,-,-,FJ494730.1,-,-,-,-,-,-,-,-
Eucalyptus staeri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390531.1,-,-,-,-,-,-,-,-
Eucalyptus stenostoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494731.1,-,-,-,-,-,-,-,-
Eucalyptus stoatei,-,-,-,-,-,-,-,-,HQ287693.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058478.1,-,-,-,HQ287720.1,-,-,-,HQ287608.1
Eucalyptus suberea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494770.1,-,-,-,-,-,-,-,-,FJ494732.1,-,-,-,-,-,-,-,-
Eucalyptus tenuipes,-,-,-,-,-,-,-,-,HQ287694.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ799979.1,-,-,-,-,-,-,-,-,AF390523.1,-,-,-,HQ287721.1,-,-,_R_FJ654340.1,HQ287609.1
Eucalyptus tenuiramis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058491.1,-,-,-,-,-,-,-,-
Eucalyptus tereticornis,-,-,-,-,-,-,-,-,-,-,-,JN573741.1,JN573742.1,JN573743.1,JN573744.1,-,JN573745.1,JN573756.1,-,-,JX276652.1,-,-,-,-,JX276653.2,JX276651.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390482.1,-,-,-,-,-,-,JX856885.1,-
Eucalyptus tessellaris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U10668.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus tetragona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489906.1,U10643.1,-,-,-,-,-,-,-,AF190364.1,-,-,-,AF190397.1,-,AM489984.1,_R_AF190381.1,-
Eucalyptus tetrodonta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654428.1,-,-,-,-,-,-,-,-,AF390465.1,-,-,-,-,-,-,_R_FJ654362.1,-
Eucalyptus tindaliae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390534.1,-,-,-,-,-,-,-,-
Eucalyptus todtiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494771.1,-,-,-,-,-,-,-,-,FJ494733.1,-,-,-,-,-,-,-,-
Eucalyptus torquata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390499.1,-,-,-,-,-,-,-,-
Eucalyptus triflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494774.1,-,-,-,-,-,-,-,-,EF051503.1,-,-,-,-,-,-,-,-
Eucalyptus umbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494775.1,-,-,-,-,-,-,-,-,AF058505.1,-,-,-,-,-,-,-,-
Eucalyptus urnigera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ713792.1,-
Eucalyptus urophylla,-,AF159169.1,-,-,-,-,-,-,-,-,-,JN573746.1,JN573747.1,JN573748.1,JN573749.1,JN573750.1,JN573751.1,JN573782.1,-,-,JX270999.1,-,-,-,-,JX271000.1,JX270998.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GQ387647.1,FN554865.1,-,-,-,-,AF390489.1,-,-,-,-,-,KJ510901.1,EF507880.1,KJ440000.1
Eucalyptus vernicosa,-,-,-,-,-,-,-,-,AF306339.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF306335.1,-,-,-,-
Eucalyptus verrucata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494736.1,-,-,-,-,-,-,JX187467.1,-
Eucalyptus vicina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084822.1,-,-,-,-,HM116971.1,-,-,-,-,-,-,-,-
Eucalyptus victoriana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JX187448.1,-
Eucalyptus viminalis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064658.1,-,-,-,-,-,-,-,-,HM596069.1,-,-,-,AF306336.1,-,KM065107.1,AY620894.1,-
Eucalyptus wandoo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390497.1,-,-,-,-,-,-,-,-
Eucalyptus wetarensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY039752.1,-,-,-,-,-,-,-,-
Eucalyptus willisii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058498.1,-,-,-,-,-,-,JX187454.1,-
Eucalyptus woodwardii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058479.1,-,-,-,-,-,-,-,-
Eugenia albanensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454129.1,-,-,-,-,-,-,AY463107.1,-,AY487286.1,-,-,-,-,-,KF147399.1,-,KF147473.1
Eugenia arenosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033251.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187658.1,-,-,-,-,-,-,-,-,JQ033314.1,-,JQ033283.1,JQ033376.1,-,-,-,JQ033344.1,-
Eugenia astringens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187659.1,-,-,-,-,-,-,-,-,KJ187606.1,-,-,-,-,-,-,_R_KJ469655.1,-
Eugenia axillaris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454148.1,-,-,-,-,-,-,AY463130.1,-,AY487300.1,-,-,-,-,-,-,_R_KJ469656.1,-
Eugenia bacopari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033237.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187661.1,-,-,-,-,-,-,-,-,JQ033301.1,-,JQ033269.1,JQ033362.1,-,-,-,JQ033330.1,-
Eugenia beaurepairiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033250.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187662.1,-,-,-,-,-,-,-,-,JQ033310.1,-,JQ033281.1,JQ033373.1,-,-,-,JQ033343.1,-
Eugenia biflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187663.1,-,-,-,-,-,-,-,-,KJ187610.1,-,-,-,-,-,-,_R_KJ469659.1,-
Eugenia bimarginata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187664.1,-,-,-,-,-,-,-,-,KJ187611.1,-,-,-,-,-,-,_R_KJ469660.1,-
Eugenia bocainensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187665.1,-,-,-,-,-,-,-,-,KJ187612.1,-,-,-,-,-,-,_R_KJ469661.1,-
Eugenia brasiliensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033239.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187666.1,-,-,-,-,-,-,-,-,JQ033300.1,-,JQ033271.1,JQ033364.1,-,-,-,JQ033332.1,-
Eugenia brevistyla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187667.1,-,-,-,-,-,-,-,-,KJ187614.1,-,-,-,-,-,-,_R_KJ469663.1,-
Eugenia brongniartiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187668.1,-,-,-,-,-,-,-,-,KJ187615.1,-,-,-,-,-,-,_R_KJ469664.1,-
Eugenia burkartiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033241.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033305.1,-,JQ033273.1,JQ033366.1,-,-,-,JQ033334.1,-
Eugenia calycina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187669.1,-,-,-,-,-,-,-,-,KJ187616.1,-,-,-,-,-,-,_R_KJ469665.1,-
Eugenia capensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454134.1,-,-,-,-,-,-,AY463113.1,-,AY487292.1,-,-,-,-,-,JX517357.1,-,JX572580.1
Eugenia capparidifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187617.1,-,-,-,-,-,-,_R_KJ469666.1,-
Eugenia cerasiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454137.1,-,-,-,-,-,-,AY463117.1,-,AY487296.1,-,-,-,-,-,-,-,-
Eugenia cf.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ787392.1,-,-,-,JF804902.1,-,-,-,-
Eugenia coffeifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ037851.1,-,FJ038348.1,FJ038740.1,FJ039241.1,FJ039476.1,-,_R_FJ039022.2,FJ038133.1
Eugenia coloradoensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GQ981988.1,_R_GQ982215.1,GQ981730.1
Eugenia convexinervia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187670.1,-,-,-,-,-,-,-,-,KJ187618.1,-,-,-,-,-,-,_R_KJ469667.1,-
Eugenia crassipetala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454131.1,-,-,-,-,-,-,AY463109.1,-,AY487288.1,-,-,-,-,-,-,-,-
Eugenia cucullata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ037853.1,-,-,FJ038741.1,FJ039316.1,-,-,-,GQ428585.1
Eugenia cuprea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187671.1,-,-,-,-,-,-,-,-,KJ187619.1,-,-,-,-,-,-,_R_KJ469668.1,-
Eugenia cupulata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ626185.1
Eugenia domingensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM446685.1,_R_HM446927.1,HM446795.1
Eugenia dysenterica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187672.1,-,-,-,-,-,-,-,-,KJ187620.1,-,-,-,-,-,JX850043.1,_R_KJ469669.1,-
Eugenia eggersii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM446686.1,_R_HM446928.1,HM446796.1
Eugenia erythrophylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454145.1,-,-,-,-,-,-,AY463125.1,-,AY463139.1,-,-,-,-,-,JX517830.1,-,JX572581.1
Eugenia excelsa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ187673.1,-,-,-,-,-,-,-,-,KJ187621.1,-,-,-,-,-,-,_R_KJ469670.1,-
Eugenia fasciculata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JF804903.1,-,-,-,-
Eugenia feijoi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ626380.1,-,GQ428586.1
Eugenia florida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ033246.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489912.1,-,-,-,-,-,-,-,-,AM234090.1,-,JQ033278.1,JQ033371.1,-,-,-,_R_AM489830.1,-
Eugenia foetida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454139.1,-,-,-,-,-,-,AY463119.1,-,AY487298.1,-,-,-,-,-,-,-,-
Eugenia galalonensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GQ981731.1
Eugenia greggii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY454128.1,-,-,-,-,-,-,AY463106.1,-,AY487285.1,-,-,-,-,-,-,-,-
